Time(s),Source cell ID,Destination cell ID
0.9,14,9
1.5,3,19
1.5,10,9
1.6,3,18
2.3,14,9
2.3,17,1
2.6,3,8
2.8,3,8
3.6,5,1
4.3,16,11
4.6,5,1
6.3,15,19
6.9,15,11
7.9,6,11
8.3,8,3
8.7,6,5
8.7,12,1
8.8,15,14
9.3,6,7
9.3,6,5
10.3,6,5
11.0,18,19
12.1,1,4
12.6,1,2
12.7,9,4
12.7,11,16
13.6,1,5
14.4,1,4
14.6,9,5
15.1,5,4
15.3,8,19
15.3,14,15
15.3,19,4
16.4,18,2
16.5,1,5
16.5,9,13
16.5,13,7
17.0,1,12
17.0,11,10
17.5,11,10
17.8,13,12
18.2,16,12
18.3,9,14
18.6,4,1
18.8,17,14
19.4,19,3
21.8,1,4
22.4,5,6
22.5,2,18
22.6,5,6
23.1,18,3
23.2,5,6
23.2,19,3
23.3,7,6
23.8,13,9
25.4,15,14
27.3,9,13
27.9,17,1
28.2,2,1
28.4,18,14
29.6,9,14
29.7,10,14
30.1,5,4
30.3,16,11
30.6,10,11
31.5,14,15
31.8,19,3
32.6,5,1
32.7,19,4
33.1,9,8
33.5,15,11
33.8,2,18
34.2,7,3
34.3,16,4
34.7,11,12
34.9,2,3
35.4,2,1
35.9,14,10
36.0,6,10
36.1,14,17
36.5,7,12
37.3,1,5
37.4,14,17
37.9,1,17
38.0,18,3
38.2,14,18
38.3,11,15
38.5,10,5
38.7,6,5
38.7,10,14
38.9,19,18
39.2,6,7
39.8,10,5
40.0,11,7
40.5,14,15
40.5,18,17
40.5,19,4
40.9,10,5
41.0,1,2
42.0,1,17
42.6,18,15
43.0,3,2
43.3,1,17
43.8,19,3
44.0,8,4
44.1,7,6
44.3,5,6
45.0,1,17
45.8,5,6
46.2,7,6
46.4,5,10
46.6,8,3
46.8,3,19
47.0,4,19
47.3,3,19
47.4,1,4
49.4,13,17
49.6,4,19
49.8,14,10
50.0,14,10
50.7,8,3
51.9,17,18
52.5,16,12
52.5,16,12
52.8,3,8
53.6,10,14
54.6,3,8
55.0,17,12
55.1,15,19
55.5,4,1
55.8,12,16
56.0,19,3
56.4,5,10
57.1,17,18
57.5,17,1
57.5,17,1
57.6,14,10
57.7,14,10
59.5,18,2
59.9,3,8
60.8,19,3
61.0,6,10
61.0,12,16
61.3,6,10
61.7,5,10
61.7,14,10
61.9,6,7
62.5,19,16
63.4,2,18
63.7,12,16
64.0,1,16
64.8,12,16
65.0,14,10
65.6,3,19
66.0,1,12
66.3,1,17
66.5,1,12
67.0,3,2
67.5,14,18
68.1,13,9
68.4,1,16
69.4,10,9
69.5,18,2
70.2,18,14
70.3,10,9
72.4,14,9
72.8,16,4
73.1,16,19
73.2,1,5
73.2,2,3
73.5,2,3
74.7,10,9
74.9,10,9
75.2,16,12
75.3,9,14
75.4,9,14
75.5,2,5
75.5,10,11
75.5,16,12
76.6,9,14
77.0,7,8
77.0,18,3
77.6,7,12
78.2,10,6
78.2,11,6
79.5,5,2
80.2,19,3
80.2,19,4
80.5,16,12
80.8,3,18
80.9,19,4
81.0,8,7
81.0,9,13
81.6,11,12
82.1,19,3
84.4,12,7
85.0,12,16
85.0,12,11
85.3,3,18
85.5,9,10
86.1,9,14
87.6,2,5
88.0,17,12
88.9,14,10
89.3,4,16
89.4,2,3
90.0,3,19
90.7,3,19
90.7,14,10
91.8,14,18
92.0,11,12
92.2,14,13
92.2,18,3
93.0,3,2
93.6,12,1
93.7,16,4
93.8,10,9
94.0,13,9
94.0,16,1
94.9,16,12
95.8,16,12
95.8,18,17
96.0,18,17
96.2,13,9
97.0,14,9
97.1,2,3
97.5,4,8
97.6,9,14
98.3,1,12
98.3,18,3
98.7,1,12
99.0,18,14
100.2,18,17
100.7,18,17
104.5,19,8
104.9,18,17
105.2,3,7
105.8,4,8
105.8,12,17
105.8,12,16
107.0,19,8
108.0,12,16
108.7,12,16
109.1,17,18
109.4,17,18
110.3,8,3
110.5,17,18
110.7,4,8
110.9,4,19
112.7,8,19
112.8,16,12
113.7,16,12
114.2,16,12
114.6,8,19
115.0,8,19
115.3,12,1
115.6,9,13
115.8,3,6
116.3,12,11
117.0,12,11
117.3,3,2
117.4,4,1
120.0,17,18
120.0,18,17
120.3,9,10
122.1,19,4
122.8,9,10
122.8,19,8
122.9,14,18
123.2,17,18
123.9,19,3
124.1,19,18
124.3,3,2
124.8,1,12
125.8,3,19
126.0,8,4
126.4,8,4
126.4,14,10
126.5,8,9
126.9,10,9
127.6,4,19
128.0,10,9
128.1,2,18
128.1,18,19
128.2,2,18
128.5,12,13
128.6,10,9
128.7,4,8
129.1,4,19
130.1,4,5
130.3,4,9
130.4,4,1
130.5,5,2
130.5,18,2
131.1,18,2
132.5,9,8
134.7,9,14
134.9,9,10
135.4,12,16
135.6,9,8
136.1,6,2
136.2,10,5
137.0,1,16
137.3,18,2
137.8,11,16
138.2,14,10
140.4,17,2
140.5,16,11
141.3,1,5
141.8,7,12
142.3,7,3
